Name,City,Region,Notes,Parent Organization,Technology Focus,Diversity Focus,Twitter,URL,organization_logo
DjangoGirls Windhoek,"Windhoek, Namibia",EMEA-UKN,,Django Girls,"Django,Python",Women in Tech,@DjangoGirlsWIN,https://djangogirls.org/windhoek/,https://github.com/DjangoGirls/resources/blob/master/Design/Logo/logo_square.png?raw=true
DjangoGirlsBarcelona,"Barcelona, Spain",EMEA-S,,Django Girls,"Django,Python",Women in Tech,@DjangoGirlsBCN,https://djangogirls.org/barcelona/,https://github.com/DjangoGirls/resources/blob/master/Design/Logo/logo_square.png?raw=true
DjangoGirlsMcr,"Manchester, England",EMEA-UKN,,Django Girls,"Django,Python",Women in Tech,@DjangoGirlsMcr,https://djangogirls.org/manchester/,https://github.com/DjangoGirls/resources/blob/master/Design/Logo/logo_square.png?raw=true
DjangoGirlsOXF,"Oxford, England",EMEA-UKN,,Django Girls,"Django,Python",Women in Tech,@DjangoGirlsOXF,https://djangogirls.org/oxford/,https://github.com/DjangoGirls/resources/blob/master/Design/Logo/logo_square.png?raw=true
GDI Los Angeles,"Los Angeles, California",AMER - West,,Girl Develop It!,Youth Education,Women in Tech,@girlDevelopItLA,http://girldevelopit.com/chapters/los-angeles,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GDI LV,"Las Vegas, Nevada",AMER - West,,Girl Develop It!,Youth Education,Women in Tech,@GDILV,http://www.girldevelopit.com/chapters/lehigh-valley,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
Girl Develop It! Houston,"Houston, Texas",AMER-C-South,,Girl Develop It!,Youth Education,Women in Tech,@gdihouston,http://girldevelopit.com/,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GirlDevelopIt Bmore,"Baltimore, Maryland",AMER-East,,Girl Develop It!,Youth Education,Women in Tech,@gdibaltimore,http://www.meetup.com/Girl-Develop-It-Baltimore/,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GirlDevelopIt Camden,"Camden, New Jersey",AMER-East,,Girl Develop It!,Youth Education,Women in Tech,@gdicamden,https://www.meetup.com/Girl-Develop-It-Camden/,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GirlDevelopIt DC,"Washington, DC",AMER-East,,Girl Develop It!,Youth Education,Women in Tech,@girldevelopitDC,http://www.meetup.com/Girl-Develop-It-DC/,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GirlDevelopIt VA,"Richmond, Virginia",AMER-East,,Girl Develop It!,Youth Education,Women in Tech,@GDICentralVA,http://www.meetup.com/Girl-Develop-It-CentralVA,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
GirlDevelopIt-Bucks,"Bucks County, Pennsylvania",AMER-East,,Girl Develop It!,Youth Education,Women in Tech,@gdiBucksCounty,https://www.facebook.com/gdibucks?ref=hl,https://pbs.twimg.com/profile_images/1233176122205986816/zbZAFJrJ_400x400.jpg
Girls Who Code Akron,"Akron, Ohio",AMER-East,,Girls Who Code,Youth Education,Women in Tech,@GirlsWhoCodeAK,https://www.facebook.com/groups/1796349230604392/,https://theme.zdassets.com/theme_assets/980048/9a66f42e4058383ff2a40b3b368400950bc8d154.png
Girls Who Code Blake,,,,Girls Who Code,Youth Education,Women in Tech,@GirlsWhoCode_BK,,https://theme.zdassets.com/theme_assets/980048/9a66f42e4058383ff2a40b3b368400950bc8d154.png
Girls Who Code Brooklyn,"New York City, New York",AMER-East,,Girls Who Code,Youth Education,Women in Tech,@GirlsWhoCodeBK,,https://theme.zdassets.com/theme_assets/980048/9a66f42e4058383ff2a40b3b368400950bc8d154.png
